,width,depth,slope,discharge,bankfull,source,site_id
1518,15.8,1.64,0.0064,76.1,True,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1521,41.6,1.01,0.00449,96.2,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1523,45.0,1.09,0.0038,104.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1526,14.6,0.98,0.0007,14.1,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1527,75.0,2.31,0.0018,288.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1528,8.1,0.8,0.034,12.9,True,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1529,14.6,0.81,0.0007,11.3,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1530,16.6463414634146,0.9605714285714292,0.00072,12.89,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1531,72.8,0.94,0.0004,39.5,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1534,13.262195121951198,0.7291402298850571,0.00158,9.43,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1535,26.8227261643502,0.957072,0.003,38.22795,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1536,35.3572299439161,0.2712719999999999,0.004,4.275867,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1537,59.1463414634146,1.4284907216494798,0.00049,79.86,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1538,117.0,2.19,0.00084,543.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1539,25.9,1.68,0.00356,100.0,True,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1540,56.0,1.18,0.0021,142.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1541,24.3842965130456,2.005584,0.026,128.27601,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1543,72.0,1.21,0.0049,169.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1544,493.0,6.77,0.00056,9628.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1545,26.0,1.16,0.0024,66.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1547,8.5,0.44,0.00468,1.86,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1548,111.0,3.86,0.0005,733.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1551,10.0585223116313,0.618744,0.03,13.167405,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1552,110.0,1.58,0.0017,299.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1553,24.0794928066325,1.7526,0.025,78.15491999999999,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1554,9.0,0.55,0.0157,8.86,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1555,121.0,1.98,0.0017,486.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1556,20.0,0.88,0.001,10.5,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1557,25.0,0.88,0.0058,42.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1562,201.0,3.47,0.0025,2829.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1563,14.512195121951198,0.487865546218487,0.0107099999999999,5.49,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1565,14.6,0.47,0.0007,4.57,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1567,14.6,0.56,0.0007,5.77,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1568,28.6515484028286,0.713232,0.004,34.54674,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1570,16.0,0.97,0.0018,29.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1571,28.0,0.5,0.0081,8.07,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1573,119.0,2.31,0.002,489.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1582,33.0,0.37,0.00339,11.4,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1587,12.8017556693489,0.362712,0.004,3.822795,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1590,9.8,0.4,0.00062,1.44,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1591,141.0,2.76,0.0012,850.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1592,168.0,2.46,0.0012,1075.0,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1596,44.8061448427213,0.530352,0.002,18.40605,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1597,20.7266520360888,0.283464,0.006,2.435262,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1598,14.6,0.7,0.0007,9.13,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1601,14.1,0.87,0.0055299999999999,11.2,True,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1602,14.5,0.38,0.0099,7.71,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1603,19.2,0.47,0.0016,5.91,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1604,15.6,0.51,0.00525,7.5,True,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
1605,20.7266520360888,0.8290559999999999,0.024,38.51112,False,"Rickenmann and Recking, 2011","Rickenmann and Recking, 2011"
